city,province,lat,long
Toronto,Ontario,43.7417,-79.3733
Montreal,Quebec,45.5089,-73.5617
Vancouver,British Columbia,49.25,-123.1
Calgary,Alberta,51.05,-114.0667
Edmonton,Alberta,53.5344,-113.4903
Ottawa,Ontario,45.4247,-75.695
Winnipeg,Manitoba,49.8844,-97.1464
Quebec City,Quebec,46.8139,-71.2081
Hamilton,Ontario,43.2567,-79.8692
Mississauga,Ontario,43.6,-79.65
Brampton,Ontario,43.6833,-79.7667
Surrey,British Columbia,49.19,-122.8489
Kitchener,Ontario,43.4186,-80.4728
Halifax,Nova Scotia,44.6475,-63.5906
Laval,Quebec,45.5833,-73.75
London,Ontario,42.9836,-81.2497
Victoria,British Columbia,48.4283,-123.3647
Markham,Ontario,43.8767,-79.2633
Oshawa,Ontario,43.9,-78.85
Vaughan,Ontario,43.8333,-79.5
Windsor,Ontario,42.2833,-83
Gatineau,Quebec,45.4833,-75.65
Saskatoon,Saskatchewan,52.1333,-106.6833
Longueuil,Quebec,45.5333,-73.5167
Burnaby,British Columbia,49.2667,-122.9667
St. Catharines,Ontario,43.1833,-79.2333
Regina,Saskatchewan,50.4547,-104.6067
Oakville,Ontario,43.45,-79.6833
Richmond,British Columbia,49.1667,-123.1333
Richmond Hill,Ontario,43.8667,-79.4333
Burlington,Ontario,43.3167,-79.8
St. John's,Newfoundland and Labrador,47.4817,-52.7971
Kelowna,British Columbia,49.8881,-119.4956
Sherbrooke,Quebec,45.4,-71.9
Sudbury,Ontario,46.49,-81.01
Barrie,Ontario,44.3711,-79.6769
Abbotsford,British Columbia,49.05,-122.3167
Levis,Quebec,46.8,-71.1833
Coquitlam,British Columbia,49.2839,-122.7919
Saguenay,Quebec,48.4167,-71.0667
Guelph,Ontario,43.55,-80.25
Trois-Rivieres,Quebec,46.35,-72.55
Whitby,Ontario,43.8833,-78.9417
Cambridge,Ontario,43.3972,-80.3114
Milton,Ontario,43.5083,-79.8833
Ajax,Ontario,43.8583,-79.0364
Waterloo,Ontario,43.4667,-80.5167
Terrebonne,Quebec,45.7,-73.6333
Moncton,New Brunswick,46.1328,-64.7714
Saanich,British Columbia,48.484,-123.381
White Rock,British Columbia,49.025,-122.8028
Thunder Bay,Ontario,48.3822,-89.2461
Delta,British Columbia,49.0847,-123.0586
Nanaimo,British Columbia,49.1642,-123.9364
Brantford,Ontario,43.1667,-80.25
Chatham,Ontario,42.4229,-82.1324
Clarington,Ontario,43.935,-78.6083
Saint-Jerome,Quebec,45.7833,-74
Red Deer,Alberta,52.2681,-113.8111
Pickering,Ontario,43.8354,-79.089
Lethbridge,Alberta,49.6942,-112.8328
Kamloops,British Columbia,50.6761,-120.3408
Saint-Jean-sur-Richelieu,Quebec,45.3167,-73.2667
Niagara Falls,Ontario,43.06,-79.1067
Cape Breton,Nova Scotia,46.1389,-60.1931
Chilliwack,British Columbia,49.1577,-121.9509
Brossard,Quebec,45.4667,-73.45
Maple Ridge,British Columbia,49.2167,-122.6
Newmarket,Ontario,44.05,-79.4667
Repentigny,Quebec,45.7333,-73.4667
Peterborough,Ontario,44.3,-78.3167
Drummondville,Quebec,45.8833,-72.4833
Kawartha Lakes,Ontario,44.35,-78.75
New Westminster,British Columbia,49.2069,-122.9111
Prince George,British Columbia,53.9169,-122.7494
Caledon,Ontario,43.8667,-79.8667
Chateauguay,Quebec,45.38,-73.75
Belleville,Ontario,44.1667,-77.3833
Airdrie,Alberta,51.2917,-114.0144
Sarnia,Ontario,42.9994,-82.3089
Wood Buffalo,Alberta,57.6042,-111.3284
Sault Ste. Marie,Ontario,46.5333,-84.35
Saint John,New Brunswick,45.2806,-66.0761
Welland,Ontario,42.9833,-79.2333
Granby,Quebec,45.4,-72.7333
St. Albert,Alberta,53.6303,-113.6258
Fredericton,New Brunswick,45.9636,-66.6431
Grande Prairie,Alberta,55.1708,-118.7947
Medicine Hat,Alberta,50.0417,-110.6775
Halton Hills,Ontario,43.63,-79.95
Aurora,Ontario,44,-79.4667
Port Coquitlam,British Columbia,49.2625,-122.7811
Mirabel,Quebec,45.65,-74.0833
Blainville,Quebec,45.67,-73.88
Lac-Brome,Quebec,45.2167,-72.5167
North Vancouver,British Columbia,49.32019672,-123.0699402
Saint-Hyacinthe,Quebec,45.6167,-72.95
Beloeil,Quebec,45.5667,-73.2
North Bay,Ontario,46.3,-79.45
Charlottetown,Prince Edward Island,46.2403,-63.1347
Vernon,British Columbia,50.267,-119.272
Brandon,Manitoba,49.8483,-99.95
Mascouche,Quebec,45.75,-73.6
Stouffville,Ontario,43.9667,-79.25
Shawinigan,Quebec,46.5667,-72.75
Joliette,Quebec,46.0167,-73.45
Rimouski,Quebec,48.45,-68.53
Courtenay,British Columbia,49.6878,-124.9944
Dollard-des-Ormeaux,Quebec,45.4833,-73.8167
Cornwall,Ontario,45.0275,-74.74
Victoriaville,Quebec,46.05,-71.9667
Georgina,Ontario,44.3,-79.4333
Woodstock,Ontario,43.1306,-80.7467
Langford Station,British Columbia,48.4506,-123.5058
Quinte West,Ontario,44.1833,-77.5667
St. Thomas,Ontario,42.775,-81.1833
Saint-Eustache,Quebec,45.57,-73.9
West Vancouver,British Columbia,49.3667,-123.1667
New Tecumseth,Ontario,44.0833,-79.75
Innisfil,Ontario,44.3,-79.5833
Vaudreuil-Dorion,Quebec,45.4,-74.0333
Bradford West Gwillimbury,Ontario,44.1333,-79.6333
Salaberry-de-Valleyfield,Quebec,45.25,-74.13
Rouyn-Noranda,Quebec,48.2333,-79.0167
Boucherville,Quebec,45.6,-73.45
Mission,British Columbia,49.1337,-122.3112
Timmins,Ontario,48.4667,-81.3333
Lakeshore,Ontario,42.2399,-82.6511
Brant,Ontario,43.1167,-80.3667
Spruce Grove,Alberta,53.545,-113.9008
Campbell River,British Columbia,50.0244,-125.2475
Prince Albert,Saskatchewan,53.2,-105.75
Penticton,British Columbia,49.4911,-119.5886
Sorel-Tracy,Quebec,46.0333,-73.1167
East Kelowna,British Columbia,49.8625,-119.5833
Leamington,Ontario,42.0667,-82.5833
East Gwillimbury,Ontario,44.1333,-79.4167
Cote-Saint-Luc,Quebec,45.4687,-73.6673
Orangeville,Ontario,43.9167,-80.1167
Leduc,Alberta,53.2594,-113.5492
Moose Jaw,Saskatchewan,50.3933,-105.5519
Port Moody,British Columbia,49.2831,-122.8317
Pointe-Claire,Quebec,45.45,-73.8167
Orillia,Ontario,44.6,-79.4167
Stratford,Ontario,43.3708,-80.9819
Fort Erie,Ontario,42.9167,-79.0167
Val-d'Or,Quebec,48.1,-77.7833
LaSalle,Ontario,42.2167,-83.0667
Cochrane,Alberta,51.189,-114.467
North Cowichan,British Columbia,48.8236,-123.7192
Lloydminster,Saskatchewan,53.2783,-110.005
Chambly,Quebec,45.4311,-73.2873
Centre Wellington,Ontario,43.7,-80.3667
Okotoks,Alberta,50.725,-113.975
Alma,Quebec,48.55,-71.65
Sainte-Julie,Quebec,45.5833,-73.3333
Saint-Constant,Quebec,45.37,-73.57
Langley,British Columbia,49.09869081,-122.6597287
Grimsby,Ontario,43.2,-79.55
Magog,Quebec,45.2667,-72.15
Boisbriand,Quebec,45.62,-73.83
Whitehorse,Yukon,60.7029,-135.0691
Dieppe,New Brunswick,46.0989,-64.7242
King,Ontario,44.0463,-79.6044
Parksville,British Columbia,49.315,-124.312
Conception Bay South,Newfoundland and Labrador,47.5167,-52.9833
Fort Saskatchewan,Alberta,53.7128,-113.2133
Woolwich,Ontario,43.5667,-80.4833
Sainte-Therese,Quebec,45.6333,-73.85
Clarence-Rockland,Ontario,45.4833,-75.2
La Prairie,Quebec,45.42,-73.5
Saint-Bruno-de-Montarville,Quebec,45.5333,-73.35
Midland,Ontario,44.75,-79.8833
Thetford Mines,Quebec,46.1,-71.3
Lincoln,Ontario,43.13,-79.43
Quispamsis,New Brunswick,45.4322,-65.9462
Wasaga Beach,Ontario,44.5206,-80.0167
Collingwood,Ontario,44.5,-80.2167
Sept-Iles,Quebec,50.2167,-66.3833
Duncan,British Columbia,48.7787,-123.7079
Hudson,Quebec,45.45,-74.15
Saint-Lin--Laurentides,Quebec,45.85,-73.7667
Strathroy-Caradoc,Ontario,42.9575,-81.6167
Squamish,British Columbia,49.7017,-123.1589
Thorold,Ontario,43.1167,-79.2
Truro,Nova Scotia,45.3647,-63.28
Amherstburg,Ontario,42.1,-83.0833
L'Assomption,Quebec,45.8333,-73.4167
Tecumseh,Ontario,42.2431,-82.9256
Candiac,Quebec,45.38,-73.52
Essa,Ontario,44.25,-79.7833
Paradise,Newfoundland and Labrador,47.5333,-52.8667
Saint-Lambert,Quebec,45.5,-73.5167
Mount Pearl Park,Newfoundland and Labrador,47.5189,-52.8058
Saint-Lazare,Quebec,45.4,-74.1333
Owen Sound,Ontario,44.5667,-80.9333
Brockville,Ontario,44.5833,-75.6833
Chestermere,Alberta,51.05,-113.8225
Kingsville,Ontario,42.1,-82.7167
Port Alberni,British Columbia,49.2339,-124.805
Springwater,Ontario,44.4333,-79.7333
Scugog,Ontario,44.09,-78.936
Uxbridge,Ontario,44.1167,-79.1333
Fort St. John,British Columbia,56.2465,-120.8476
Wilmot,Ontario,43.4,-80.65
Essex,Ontario,42.0833,-82.9
Varennes,Quebec,45.6833,-73.4333
Oro-Medonte,Ontario,44.5667,-79.5833
Mont-Royal,Quebec,45.5161,-73.6431
Beaumont,Alberta,53.3572,-113.4147
Baie-Comeau,Quebec,49.2167,-68.15
Riverview,New Brunswick,46.0613,-64.8052
Cobourg,Ontario,43.9667,-78.1667
Cranbrook,British Columbia,49.5097,-115.7667
Yellowknife,Northwest Territories,62.4709,-114.4053
South Frontenac,Ontario,44.5081,-76.4939
Riviere-du-Loup,Quebec,47.8333,-69.5333
Port Colborne,Ontario,42.8833,-79.25
Saint-Augustin-de-Desmaures,Quebec,46.7333,-71.4667
Huntsville,Ontario,45.3333,-79.2167
Sainte-Marthe-sur-le-Lac,Quebec,45.53,-73.93
Lloydminster,Alberta,53.2807,-110.035
Westmount,Quebec,45.4833,-73.6
Russell,Ontario,45.2569,-75.3583
Les Coteaux,Quebec,45.28,-74.23
Salmon Arm,British Columbia,50.7022,-119.2722
Kirkland,Quebec,45.45,-73.8667
Corner Brook,Newfoundland and Labrador,48.9287,-57.926
New Glasgow,Nova Scotia,45.5926,-62.6455
Dorval,Quebec,45.45,-73.75
Beaconsfield,Quebec,45.4333,-73.8667
Pitt Meadows,British Columbia,49.2333,-122.6833
Niagara-on-the-Lake,Ontario,43.2553,-79.0717
Colwood,British Columbia,48.4236,-123.4958
Middlesex Centre,Ontario,43.05,-81.45
Mont-Saint-Hilaire,Quebec,45.5622,-73.1917
Camrose,Alberta,53.0167,-112.8333
Selwyn,Ontario,44.4167,-78.3333
Tillsonburg,Ontario,42.8667,-80.7333
Pelham,Ontario,43.0333,-79.3333
Petawawa,Ontario,45.9,-77.2833
Stony Plain,Alberta,53.5264,-114.0069
Oak Bay,British Columbia,48.4264,-123.3228
North Grenville,Ontario,44.9667,-75.65
Loyalist,Ontario,44.25,-76.75
Deux-Montagnes,Quebec,45.5333,-73.8833
Steinbach,Manitoba,49.5258,-96.6839
Saint-Colomban,Quebec,45.73,-74.13
Miramichi,New Brunswick,47.0196,-65.5072
Esquimalt,British Columbia,48.4306,-123.4147
Central Saanich,British Columbia,48.5142,-123.3839
Sainte-Catherine,Quebec,45.4,-73.58
Port Hope,Ontario,43.95,-78.3
Inverness,Nova Scotia,46.2,-61.1
Saint-Basile-le-Grand,Quebec,45.5333,-73.2833
L'Ancienne-Lorette,Quebec,46.8,-71.35
Swift Current,Saskatchewan,50.2881,-107.7939
Pembroke,Ontario,45.8167,-77.1
Edmundston,New Brunswick,47.3765,-68.3253
Yorkton,Saskatchewan,51.2139,-102.4628
Springfield,Manitoba,49.9292,-96.6939
Sylvan Lake,Alberta,52.3083,-114.0964
Bracebridge,Ontario,45.0333,-79.3
Summerside,Prince Edward Island,46.4,-63.7833
Canmore,Alberta,51.089,-115.359
Bathurst,New Brunswick,47.62,-65.65
Greater Napanee,Ontario,44.25,-76.95
Lake Country,British Columbia,50.0833,-119.4142
Hanover,Manitoba,49.4433,-96.8492
Winkler,Manitoba,49.1817,-97.9397
Saint-Charles-Borromee,Quebec,46.05,-73.4667
Cowansville,Quebec,45.2,-72.75
Sainte-Anne-des-Plaines,Quebec,45.7617,-73.8204
Gaspe,Quebec,48.8333,-64.4833
Sooke,British Columbia,48.3761,-123.7378
Kenora,Ontario,49.7667,-94.4833
Cold Lake,Alberta,54.4642,-110.1825
Brooks,Alberta,50.5642,-111.8989
Kentville,Nova Scotia,45.0775,-64.4958
Comox,British Columbia,49.6733,-124.9022
Pincourt,Quebec,45.3833,-73.9833
Mississippi Mills,Ontario,45.2167,-76.2
St. Clair,Ontario,42.7833,-82.35
Terrace,British Columbia,54.5164,-128.5997
Mercier,Quebec,45.32,-73.75
West Lincoln,Ontario,43.0667,-79.5667
Lavaltrie,Quebec,45.8833,-73.2833
West Nipissing / Nipissing Ouest,Ontario,46.3667,-79.9167
Strathmore,Alberta,51.0378,-113.4003
High River,Alberta,50.5808,-113.8744
Clearview,Ontario,44.3981,-80.0742
Lachute,Quebec,45.65,-74.3333
Rosemere,Quebec,45.6369,-73.8
Matane,Quebec,48.85,-67.5333
Thames Centre,Ontario,43.03,-81.08
Powell River,British Columbia,49.8353,-124.5247
Carleton Place,Ontario,45.1333,-76.1333
Guelph/Eramosa,Ontario,43.63,-80.22
Grand Falls,Newfoundland and Labrador,48.9578,-55.6633
North Battleford,Saskatchewan,52.7575,-108.2861
Mont-Laurier,Quebec,46.55,-75.5
Central Elgin,Ontario,42.7667,-81.1
Mistassini,Quebec,48.8229,-72.2154
Saugeen Shores,Ontario,44.4333,-81.3667
Ingersoll,Ontario,43.0392,-80.8836
Beauharnois,Quebec,45.32,-73.87
South Stormont,Ontario,45.0833,-74.9667
Becancour,Quebec,46.3333,-72.4333
Severn,Ontario,44.75,-79.5167
Lacombe,Alberta,52.4683,-113.7369
Sainte-Sophie,Quebec,45.82,-73.9
Val-des-Monts,Quebec,45.65,-75.6667
Saint-Amable,Quebec,45.65,-73.3
Portage La Prairie,Manitoba,49.9728,-98.2919
South Glengarry,Ontario,45.2,-74.5833
Sainte-Marie,Quebec,46.45,-71.0333
North Perth,Ontario,43.73,-80.95
Thompson,Manitoba,55.7433,-97.8553
Trent Hills,Ontario,44.3142,-77.8514
Trail,British Columbia,49.095,-117.71
The Nation / La Nation,Ontario,45.35,-75.0333
Amos,Quebec,48.5667,-78.1167
Wetaskiwin,Alberta,52.9694,-113.3769
West Grey,Ontario,44.1833,-80.8167
Warman,Saskatchewan,52.3219,-106.5842
Dawson Creek,British Columbia,55.7606,-120.2356
Sidney,British Columbia,48.6506,-123.3986
Gravenhurst,Ontario,44.9167,-79.3667
Prince Rupert,British Columbia,54.3122,-130.3271
Perth East,Ontario,43.47,-80.95
North Saanich,British Columbia,48.6142,-123.42
Prevost,Quebec,45.87,-74.08
Sainte-Adele,Quebec,45.95,-74.13
Sainte-Agathe-des-Monts,Quebec,46.05,-74.28
Quesnel,British Columbia,52.9784,-122.4927
Les Iles-de-la-Madeleine,Quebec,47.3833,-61.8667
Tache,Manitoba,49.7081,-96.6736
Wellington North,Ontario,43.9,-80.57
St. Andrews,Manitoba,50.27,-96.9747
Williams Lake,British Columbia,52.1294,-122.1383
Gander,Newfoundland and Labrador,48.9569,-54.6089
Whistler,British Columbia,50.1208,-122.9544
Brighton,Ontario,44.1222,-77.7642
Tiny,Ontario,44.6833,-79.95
Hawkesbury,Ontario,45.6,-74.6
Carignan,Quebec,45.45,-73.3
Brock,Ontario,44.3167,-79.0833
L'Ile-Perrot,Quebec,45.3833,-73.95
Summerland,British Columbia,49.6006,-119.6778
St. Clements,Manitoba,50.2689,-96.6742
View Royal,British Columbia,48.4517,-123.4339
Montmagny,Quebec,46.9833,-70.55
Cantley,Quebec,45.5667,-75.7833
Erin,Ontario,43.7667,-80.0667
Notre-Dame-de-l'Ile-Perrot,Quebec,45.3667,-73.9333
Kincardine,Ontario,44.1667,-81.6333
Elliot Lake,Ontario,46.3833,-82.65
Bromont,Quebec,45.3167,-72.65
Arnprior,Ontario,45.4333,-76.35
North Dundas,Ontario,45.0833,-75.35
Wellesley,Ontario,43.55,-80.7167
Nelson,British Columbia,49.5,-117.2833
Ladysmith,British Columbia,48.9975,-123.8203
Coldstream,British Columbia,50.22,-119.2481
Georgian Bluffs,Ontario,44.65,-81.0333
Weyburn,Saskatchewan,49.6611,-103.8525
La Tuque,Quebec,48.0652,-74.0528
Norwich,Ontario,42.9833,-80.6
Meaford,Ontario,44.58,-80.73
Adjala-Tosorontio,Ontario,44.1333,-79.9333
Hamilton Township,Ontario,44.054,-78.2164
Stratford,Prince Edward Island,46.2167,-63.0893
Estevan,Saskatchewan,49.1392,-102.9861
South Dundas,Ontario,44.9167,-75.2667
Lambton Shores,Ontario,43.1833,-81.9
North Dumfries,Ontario,43.32,-80.38
Martensville,Saskatchewan,52.2897,-106.6667
Mapleton,Ontario,43.7358,-80.6681
Rawdon,Quebec,46.05,-73.7167
Morinville,Alberta,53.8022,-113.6497
Blackfalds,Alberta,52.3833,-113.8
Chester,Nova Scotia,44.65,-64.3
Queens,Nova Scotia,44.0333,-64.7167
Selkirk,Manitoba,50.1436,-96.8839
Saint-Felicien,Quebec,48.65,-72.45
Roberval,Quebec,48.52,-72.23
Rideau Lakes,Ontario,44.6667,-76.2167
Sechelt,British Columbia,49.4742,-123.7542
Bois-des-Filion,Quebec,45.6667,-73.75
North Glengarry,Ontario,45.3333,-74.7333
South Huron,Ontario,43.32,-81.5
Marieville,Quebec,45.4333,-73.1667
Penetanguishene,Ontario,44.7667,-79.9333
Tay,Ontario,44.7167,-79.7667
Castlegar,British Columbia,49.3256,-117.6661
Cavan Monaghan,Ontario,44.2,-78.4667
Morden,Manitoba,49.1919,-98.1006
Temiskaming Shores,Ontario,47.5167,-79.6833
Hinton,Alberta,53.4114,-117.5639
Saint-Sauveur,Quebec,45.9,-74.17
Grey Highlands,Ontario,44.3333,-80.5
East St. Paul,Manitoba,49.9772,-97.0103
Stoneham-et-Tewkesbury,Quebec,47.1667,-71.4333
Alfred and Plantagenet,Ontario,45.5667,-74.9167
Mont-Tremblant,Quebec,46.1167,-74.6
Saint-Zotique,Quebec,45.25,-74.25
Saint-Raymond,Quebec,46.9,-71.8333
Gibsons,British Columbia,49.4028,-123.5036
Amherst,Nova Scotia,45.8167,-64.2167
Elizabethtown-Kitley,Ontario,44.7,-75.8833
Smiths Falls,Ontario,44.9,-76.0167
Lorraine,Quebec,45.6833,-73.7833
Ramara,Ontario,44.6333,-79.2167
Notre-Dame-des-Prairies,Quebec,46.05,-73.4333
Leeds and the Thousand Islands,Ontario,44.45,-76.08
Brockton,Ontario,44.1667,-81.2167
Laurentian Valley,Ontario,45.7681,-77.2239
Mono,Ontario,44.0167,-80.0667
Sainte-Julienne,Quebec,45.97,-73.72
Qualicum Beach,British Columbia,49.35,-124.4333
Malahide,Ontario,42.7928,-80.9361
Oromocto,New Brunswick,45.8488,-66.4788
Whitecourt,Alberta,54.1417,-115.6833
Olds,Alberta,51.7928,-114.1067
Huron East,Ontario,43.63,-81.28
Beckwith,Ontario,45.0833,-76.0667
Labrador City,Newfoundland and Labrador,52.95,-66.9167
Shelburne,Ontario,44.0833,-80.2
Stanley,Manitoba,49.1331,-98.0656
Taber,Alberta,49.7847,-112.1508
Donnacona,Quebec,46.6747,-71.7294
Corman Park No. 344,Saskatchewan,52.2291,-106.8002
L'Epiphanie,Quebec,45.84826642,-73.50605408
West Perth,Ontario,43.47,-81.2
Campbellton,New Brunswick,48.005,-66.6731
Bridgewater,Nova Scotia,44.37,-64.52
Coaldale,Alberta,49.7333,-112.6167
Pont-Rouge,Quebec,46.75,-71.7
Champlain,Ontario,45.5333,-74.65
Coaticook,Quebec,45.1333,-71.8
Minto,Ontario,43.9167,-80.8667
La Peche,Quebec,45.6833,-75.9833
Shediac,New Brunswick,46.2167,-64.5333
Otterburn Park,Quebec,45.5333,-73.2167
Sainte-Brigitte-de-Laval,Quebec,47,-71.2
Sainte-Catherine-de-la-Jacques-Cartier,Quebec,46.85,-71.6167
South Bruce Peninsula,Ontario,44.7333,-81.2
Portugal Cove-St. Philip's,Newfoundland and Labrador,47.6272,-52.8506
Edson,Alberta,53.5817,-116.4344
